time,flux
1263.023206,0.999884857
1263.04364,0.999890221
1263.064074,0.999989392
1263.084509,0.999894273
1263.104943,0.999911318
1263.125377,0.999924788
1263.145812,1.000094522
1263.166246,1.000039811
1263.186681,1.000218604
1263.207115,1.000043268
1263.227549,1.000036235
1263.247984,0.999992967
1263.268418,0.999911915
1263.288852,1.000066511
1263.309287,0.999963646
1263.329721,0.999917875
1263.350155,1.000092376
1263.37059,0.999853688
1263.391024,1.000194407
1263.411458,1.000102627
1263.431893,1.000046843
1263.452327,1.000056021
1263.472762,1.000067822
1263.493196,1.000015853
1263.51363,1.000166276
1263.534065,1.000099527
1263.554499,1.000036831
1263.574933,0.999972347
1263.595368,1.00018046
1263.615802,0.999918471
1263.636236,0.999922405
1263.656671,0.999897493
1263.677105,0.999909532
1263.697539,1.000045294
1263.717974,1.000029918
1263.738408,1.000067106
1263.758842,1.000174976
1263.779277,0.999834738
1263.799711,0.999922405
1263.820145,0.999887124
1263.84058,0.999902381
1263.861014,0.999972466
1263.881448,0.999941595
1263.901883,1.000233023
1263.922317,0.999960189
1263.942752,1.000061146
1263.963186,1.000095235
1263.98362,0.999977115
1264.004055,0.999740457
1264.024489,0.999303819
1264.044923,0.998936611
1264.065358,0.99893616
1264.085792,0.998816575
1264.106226,0.999044438
1264.126661,0.998950539
1264.147095,0.998835841
1264.167529,0.998825616
1264.187964,0.998997816
1264.208398,0.99896542
1264.228832,0.998733377
1264.249267,0.998718384
1264.269701,0.998837662
1264.290135,0.998758483
1264.31057,0.998810775
1264.331004,0.999028864
1264.351439,0.998844438
1264.371873,0.998996375
1264.392307,0.998907125
1264.412742,0.998981527
1264.433176,0.998818079
1264.45361,0.998887475
1264.474045,0.998903055
1264.494479,0.99925327
1264.514913,0.99913744
1264.535348,0.999302965
1264.555782,0.999362826
1264.576216,0.999809648
1264.596651,0.999945409
1264.617085,0.999831995
1264.637519,1.000035401
1264.657954,1.000067703
1264.678388,0.999981763
1264.698822,0.999939091
1264.719257,1.000187735
1264.739691,1.000052447
1264.760125,1.000044461
1264.78056,1.000131952
1264.800994,1.000021575
