time,intensity_800,intensity_1200,intensity_1400
11.24,0.75,2.25,2.75
11.28,1.375,2,1.875
11.32,0.5,2,2.375
11.36,0.375,1.875,2.5
11.4,0.625,2.125,3.125
11.44,0.875,2.75,2.375
11.48,0.625,2.25,2.5
11.52,0.625,3.25,2
11.56,1.25,2,2.875
11.6,0.875,2.5,2.875
11.64,0.625,1.5,2.75
11.68,0.5,2.125,2.375
11.72,1.125,2.75,3.625
11.76,1,2,4.25
11.8,0.625,2.25,2.5
11.84,0.75,3.125,1.875
11.88,0.5,1.875,3
11.92,0.5,3,1.625
11.96,0.125,3,3.25
12,0.625,3,1.875
12.04,1,2.875,1.875
12.08,1.125,3,2.625
12.12,0.375,2.125,2.875
12.16,1.125,2.709375,3.546875
12.2,1,2.5125,4.0625
12.24,0.875,4.271875,4.734375
12.28,0.659375,3.75625,3.15625
12.32,2.9125,1.79375,3.71875
12.36,5.971875,2.25,4.25
12.4,3.58125,2.25,2.625
12.44,1.19375,3.625,3.125
12.48,0.625,2.125,2.625
12.52,0.375,3.25,2.75
12.56,0.5,2.625,3.125
12.6,1.125,2.25,3.125
12.64,0.75,2,3.5
12.68,0.375,1.625,2.25
12.72,0.625,2.375,2.875
12.76,1.125,2.625,3.875
12.8,1.125,2.75,3.375
12.84,0.375,2.625,3
12.88,0.5,2.25,3.625
12.92,0.625,2.25,4.375
12.96,0.5,2.75,4
13,0.75,2.125,3
13.04,0.5,3,2.75
13.08,0.875,2.25,2.75
13.12,0.75,1.75,2
13.16,1,2.875,3.125
13.2,0.75,2.125,1.625
13.24,0.875,2.25,4.625
13.28,0.875,1.625,4
13.32,0.75,2.625,2.125
13.36,0.25,3.875,2.75
13.4,0.625,1.68125,2.65625
13.44,0.75,2.159375,3.546875
13.48,0.375,5.909375,4.296875
13.52,0.85625,4.45625,4.28125
13.56,1.759375,2.946875,2.984375
13.6,6.384375,2.375,2.875
13.64,4.05625,2.375,2.875
13.68,1.121875,2,3.875
13.72,0.25,3.875,3.5
13.76,1.125,2.25,2.375
13.8,0.875,2.125,3
13.84,1.375,2.75,3.625
13.88,0.25,2.25,3.125
13.92,0.75,3,2.75
13.96,1.125,1.875,4.5
14,1.125,2.5,1.875
14.04,0.125,2.625,3.75
14.08,0.875,2.625,3.75
14.12,0.875,3,4
14.16,1.125,2.5,2.375
14.2,1.125,3,3.5
14.24,0.75,2.375,3
14.28,0.75,3.125,2.625
14.32,1,2.25,1.875
14.36,0.75,2.25,2.875
14.4,1.375,2.25,4.25
14.44,1,2.25,2.75
14.48,0.875,2.375,2.875
14.52,1,3.5,3.625
14.56,0.875,3.125,2.5
14.6,0.875,3.75,3.125
14.64,0.75,1.75,2.625
14.68,0.625,2.26875,3.46875
14.72,0.75,5.284375,3.796875
14.76,0.25,4.778125,3.890625
14.8,1.11875,1.990625,2.828125
