time,intensity_400,intensity_600,intensity_800
1.65,0,0,7.86775
1.655,0,0,0.297875
1.66,0,0,0
1.665,0,0.125,0
1.67,0.125,0.25,0.25
1.675,0.25,0,0.125
1.68,0,2.545875,0
1.685,0.125,12.945875,0.375
1.69,0,0.991625,0.125
1.695,0.125,0,0.375
1.7,0,0.125,0
1.705,0.125,0.25,0.125
1.71,0,0,0
1.715,0,0,0
1.72,0,0.125,0.125
1.725,0,0.125,0.375
1.73,0,0.25,0.125
1.735,0.125,0.125,0.25
1.74,0.25,0,0.375
1.745,9.625,0.125,0.125
1.75,26.25,0,0.125
1.755,0.625,0.125,0.25
1.76,0,0,0.25
1.765,0,0.125,0.125
1.77,0,0.125,0.125
1.775,0.125,0.125,0.25
1.78,0.125,0,0.375
1.785,0,0.125,0.125
1.79,0,0.125,0
1.795,0,0,0
1.8,0,0,0
1.805,0,0.125,0
1.81,0,0.25,1.902125
1.815,0,0.25,10.504625
1.82,0,0.125,1.1625
1.825,0,0.25,0.125
1.83,0.125,0,0
1.835,0,0.125,0.125
1.84,0,0,0
1.845,0,0.758375,0.25
1.85,0.25,13.520875,0.125
1.855,0,3.554125,0.125
1.86,0,0,0
1.865,0,0.125,0.375
1.87,0,0,0.25
1.875,0,0.125,0
1.88,0,0,0.125
1.885,0.25,0.25,0.125
1.89,0,0.125,0.125
1.895,0,0,0
1.9,0,0,0.375
1.905,0,0.25,0.25
1.91,3.25,0.125,0.5
1.915,31.375,0,0
1.92,5.625,0.125,0.25
1.925,0.125,0.125,0.125
1.93,0.125,0.125,0.5
1.935,0,0.25,0.375
1.94,0,0.125,0.125
1.945,0,0,0.5
1.95,0.125,0,0.375
1.955,0,0.125,0
1.96,0.125,0,0
1.965,0.125,0.125,0
1.97,0,0,0
1.975,0.125,0,0.55725
1.98,0,0.125,9.10725
1.985,0.125,0.125,4.21775
1.99,0.25,0.125,0.375
1.995,0.125,0.25,0
2,0.125,0,0.25
2.005,0.125,0,0.25
2.01,0,0.25,0
2.015,0,5.958375,0.25
2.02,0,9.858375,0.5
2.025,0,0.216625,0
2.03,0,0.125,0.25
2.035,0,0.125,0.125
2.04,0,0.125,0.5
2.045,0,0.125,0.25
2.05,0.125,0,0.375
2.055,0,0.125,0
2.06,0,0.125,0.125
2.065,0,0.25,0
2.07,0,0.25,0.125
2.075,0.125,0,0
2.08,22.25,0.125,0.375
2.085,14.625,0.125,0.125
2.09,0,0.125,0
2.095,0,0.125,0.125
2.1,0.25,0,0.375
2.105,0,0,0.125
2.11,0,0,0.5
2.115,0,0.25,0.125
2.12,0.125,0.25,0
2.125,0,0.25,0.125
2.13,0.125,0.125,0
2.135,0,0.125,0.25
2.14,0,0.25,0.66825
2.145,0.125,0.125,4.962
2.15,0,0.375,7.3875
2.155,0,0.125,0.2115
